MatchTime,Weekday,Month,Day,Year,Time,Composite,Home,Away,Stadium
"Friday, March 6, 2015 10:00PM EST",Friday,March,6,2015,20:00,2015-03-06 20:00,LA Galaxy,Chicago,StubHub Center
"Saturday, March 7, 2015 3:00PM EST",Saturday,March,7,2015,15:00,2015-03-07 15:00,D.C. United,Montreal,RFK Stadium
"Saturday, March 7, 2015 4:00PM EST",Saturday,March,7,2015,16:00,2015-03-07 16:00,Philadelphia,Colorado,PPL Park
"Saturday, March 7, 2015 6:00PM EST",Saturday,March,7,2015,18:00,2015-03-07 18:00,Vancouver,Toronto FC,BC Place
"Saturday, March 7, 2015 8:30PM EST",Saturday,March,7,2015,20:30,2015-03-07 20:30,FC Dallas,San Jose,Toyota Stadium
"Saturday, March 7, 2015 8:30PM EST",Saturday,March,7,2015,20:30,2015-03-07 20:30,Houston,Columbus,BBVA Compass Stadium
"Saturday, March 7, 2015 10:30PM EST",Saturday,March,7,2015,20:30,2015-03-07 20:30,Portland,Real Salt Lake,Providence Park
"Sunday, March 8, 2015 5:00PM EDT",Sunday,March,8,2015,17:00,2015-03-08 17:00,Orlando,New York City,Orlando Citrus Bowl
"Sunday, March 8, 2015 7:00PM EDT",Sunday,March,8,2015,19:00,2015-03-08 19:00,Sporting KC,NY Red Bulls,Sporting Park
"Sunday, March 8, 2015 9:30PM EDT",Sunday,March,8,2015,21:30,2015-03-08 21:30,Seattle,New England,CenturyLink Field
"Friday, March 13, 2015 7:00PM EDT",Friday,March,13,2015,19:00,2015-03-13 19:00,Houston,Orlando,BBVA Compass Stadium
"Saturday, March 14, 2015 TBD",Saturday,March,14,2015,00:00,2015-03-14 00:00,Seattle,San Jose,CenturyLink Field
"Saturday, March 14, 2015 6:00PM EDT",Saturday,March,14,2015,18:00,2015-03-14 18:00,Chicago,Vancouver,Toyota Park
"Saturday, March 14, 2015 7:30PM EDT",Saturday,March,14,2015,19:30,2015-03-14 19:30,Columbus,Toronto FC,Crew Stadium
"Saturday, March 14, 2015 8:30PM EDT",Saturday,March,14,2015,20:30,2015-03-14 20:30,FC Dallas,Sporting KC,Toyota Stadium
"Saturday, March 14, 2015 9:30PM EDT",Saturday,March,14,2015,21:30,2015-03-14 21:30,Real Salt Lake,Philadelphia,Rio Tinto Stadium
"Sunday, March 15, 2015 5:00PM EDT",Sunday,March,15,2015,17:00,2015-03-15 17:00,New York City,New England,Yankee Stadium
"Sunday, March 15, 2015 7:00PM EDT",Sunday,March,15,2015,19:00,2015-03-15 19:00,Portland,LA Galaxy,Providence Park
"Friday, March 20, 2015 7:00PM EDT",Friday,March,20,2015,19:00,2015-03-20 19:00,Philadelphia,FC Dallas,PPL Park
"Saturday, March 21, 2015 3:00PM EDT",Saturday,March,21,2015,15:00,2015-03-21 15:00,New England,Montreal,Gillette Stadium
"Saturday, March 21, 2015 4:00PM EDT",Saturday,March,21,2015,16:00,2015-03-21 16:00,Colorado,New York City,Dickâ€™s Sporting Goods Park
"Saturday, March 21, 2015 7:30PM EDT",Saturday,March,21,2015,19:30,2015-03-21 19:30,Orlando,Vancouver,Citrus Bowl
"Saturday, March 21, 2015 8:30PM EDT",Saturday,March,21,2015,20:30,2015-03-21 20:30,Sporting KC,Portland,Sporting Park
"Saturday, March 21, 2015 10:30PM EDT",Saturday,March,21,2015,20:30,2015-03-21 20:30,LA Galaxy,Houston,Stubhub Center
"Sunday, March 22, 2015 5:00PM EDT",Sunday,March,22,2015,17:00,2015-03-22 17:00,NY Red Bulls,D.C. United,Red Bull Arena
"Sunday, March 22, 2015 7:00PM EDT",Sunday,March,22,2015,19:00,2015-03-22 19:00,San Jose,Chicago,Avaya Stadium
