Title,Title.type,Directors,Year,Genres,Release Date,Storyline,Cast
Eleven Eleven,Feature Film,Chris Redish,2015,comedy,1-Jun-2015,A UFO fanatic risks his family to fulfill his lifelong dream of being abducted.,"Charles Baker, Krista Allen, Christina Rose, Jennifer Pfalzgraff, Dominic Bogart"
The Encounter,Feature Film,Robert Conway,2015,sci_fi,5-Jun-2015,"When Collin Bastrow is found in the forest, alone and afraid, he has a shocking story to tell. As he struggles to recount the events of the previous night his memories return in a series of horrific flashes of what became of his friends and fiancée. What started as a simple camping trip in the mountains of Northern Arizona quickly descended into an amazing and terrifying story that is truly out of this world. As the sole survivor of this deadly close encounter Collin must try and explain the unexplainable. ","Clint James, Owen Conway, Megan Drust, Eliza Kiss, Paulina Vallin"
Alton & Kenya's Outrageous Wedding,Feature Film,Michael Fouther,2015,"comedy, family, romance",16-Jun-2015,"Alton & Kenya's OUTRAGEOUS WEDDING is a romantic comedy about a wedding. The bride and groom, Alton Sheffield and Kenya Jackson, grew up on different sides of the track. Alton grew up in an upper class household in Baldwin Hills. His wife to be, Kenya, grew up in the ""Jungle"" (South Central LA). Comedy ensues as the two families come together for a day of holy matrimony. ","Genevieve Adell, Lauren Christie, Jonathan Dankner, David Ely, Larry Bam Hall"
At Granny's House,Feature Film,Les Mahoney,2015,"horror, thriller",4-Jul-2015,"A typical Midwest house. A sweet little old lady. When a caretaker moves in to help out, Granny's House becomes a macabre place of death - and love.","Bill Oberst Jr., Rachel Alig, Laura Lee, Nissa Von Reiter, Glenda Morgan Brown"
Beautiful Destroyer,Feature Film,"Christopher Dorrah, Tracy Wren",2015,"action, drama, romance, thriller",4-Jul-2015,"Leigh, an eccentric young woman, witnesses her mother murdered by the woman who would raise her. She grows up to be a ruthless assassin and fights with hiding her real life reality from the love of her life.","Andra Fuller, Amin Joseph, Kirk Kelleykahn, Luca Kahn, Numa Perrier"
Aurora,Feature Film,Robert Kouba,2015,"romance, sci_fi, thriller",7-Jul-2015,"In 2020 super-computer Kronos concludes that human beings are the biggest threat to the planet. 60 years later, Andrew finds himself lost in a world run by machines when he meets Calia, a girl on the way to a place called Aurora.","Carmen Argenziano, Eileen Grubba, Julian Schaffner, Jeannine Wacker, Pavlo Bubryak"
The Gift,Feature Film,Joel Edgerton,2015,"drama, mystery, thriller",31-Jul-2015,"A husband and wife try to reinvigorate their relationship but their lives are threatened by a ""friend"" from the husband's past who holds a horrifying secret about him, sending their world into a tailspin.","Joel Edgerton, Jason Bateman, Rebecca Hall, Beau Knapp, David Denman"
Pixels,Feature Film,Chris Columbus,2015,"action, comedy, sci_fi",23-Jul-2015,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.","Michelle Monaghan, Adam Sandler, Peter Dinklage, Jane Krakowski, Sean Bean"
Mission: Impossible - Rogue Nation,Feature Film,Christopher McQuarrie,2015,"action, adventure, thriller",30-Jul-2015,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.","Rebecca Ferguson, Tom Cruise, America Olivo, Jeremy Renner, Simon Pegg"
An American Girl: Grace Stirs Up Success,Feature Film,Vince Marcello,2015,family,23-Jun-2015,"Grace is excited for the summer so she can start a business with her friends, but things take an unexpected turn when her mom announces a trip to Paris. There, Grace must learn to get along with her French cousin, Sylvie, and she finds unexpected inspiration for her business. Then, Grace finds out her grandparents bakery, that inspired her to start a business, is closing. Can she and her friends find a way to save it? ","Virginia Madsen, Eloise Webb, Caitlin Carmichael, Lili Bordan, Karen Gagnon"
