Match Time	Home Team	Away Team	Stadium
Friday, April 3, 2015 7:00PM EDT	Orlando	D.C. United	Citrus Bowl
Saturday, April 4, 2015 TBD	Seattle	Houston	CenturyLink Field
Saturday, April 4, 2015 TBD	Vancouver	LA Galaxy	BC Place
Saturday, April 4, 2015 3:00PM EDT	Chicago	Toronto FC	Toyota Park
Saturday, April 4, 2015 7:00PM EDT	Colorado	New England	Dick's Sporting Goods Park
Saturday, April 4, 2015 7:00PM EDT	NY Red Bulls	Montreal	Red Bull Arena
Saturday, April 4, 2015 10:30PM EDT	Portland	FC Dallas	Providence Park
Sunday, April 5, 2015 5:00PM EDT	San Jose	Real Salt Lake	Avaya Stadium
Sunday, April 5, 2015 7:00PM EDT	Sporting KC	Philadelphia	Sporting Park
Wednesday, April 8, 2015 TBD	Vancouver	Columbus	BC Place
Friday, April 10, 2015 7:00PM EDT	FC Dallas	Colorado	Toyota Stadium
Saturday, April 11, 2015 TBD	Philadelphia	New York City	PPL Park
Saturday, April 11, 2015 3:00PM EDT	New England	Columbus	Gillette Stadium
Saturday, April 11, 2015 7:00PM EDT	D.C. United	NY Red Bulls	RFK Stadium
Saturday, April 11, 2015 8:30PM EDT	Sporting KC	Real Salt Lake	Sporting Park
Saturday, April 11, 2015 8:30PM EDT	Houston	Montreal	BBVA Compass Stadium
Saturday, April 11, 2015 10:30PM EDT	San Jose	Vancouver	Avaya Stadium
Sunday, April 12, 2015 5:00PM EDT	Portland	Orlando	Providence Park
Sunday, April 12, 2015 7:00PM EDT	LA Galaxy	Seattle	Stubhub Center
Wednesday, April 15, 2015 7:30PM EDT	New England	Chicago	Gillette Stadium
Thursday, April 16, 2015 TBD	New York City	Philadelphia	Yankee Stadium
Friday, April 17, 2015 7:00PM EDT	NY Red Bulls	San Jose	Red Bull Arena
Saturday, April 18, 2015 TBD	Montreal	Chicago	Stade Saputo
Saturday, April 18, 2015 7:00PM EDT	D.C. United	Houston	RFK Stadium
Saturday, April 18, 2015 7:30PM EDT	Columbus	Orlando	Crew Stadium
Saturday, April 18, 2015 8:30PM EDT	FC Dallas	Toronto FC	Toyota Stadium
