Title,Type,Director,US Release Year,Genre,US Release Date,IMDb Link
Self/less,Feature Film,Tarsem Singh,2015,"drama, sci_fi, thriller",2015-04-16,http://www.imdb.com/title/tt2140379/
Faith,Feature Film,Gary Stretch,2015,drama,2015-05-10,http://www.imdb.com/title/tt3421274/
San Andreas,Feature Film,Brad Peyton,2015,"action, drama, thriller",2015-05-27,http://www.imdb.com/title/tt2126355/
Insidious: Chapter 3,Feature Film,Leigh Whannell,2015,horror,2015-05-28,http://www.imdb.com/title/tt3195644/
Aloha,Feature Film,Cameron Crowe,2015,"comedy, drama, romance",2015-05-28,http://www.imdb.com/title/tt1243974/
Survivor,Feature Film,James McTeigue,2015,"action, thriller",2015-05-29,http://www.imdb.com/title/tt3247714/
Pernicious,Feature Film,James Cullen Bressack,2015,"horror, thriller",2015-05-29,http://www.imdb.com/title/tt2187444/
Price for Freedom,Feature Film,Dylan Bank,2015,drama,2015-05-29,http://www.imdb.com/title/tt4308652/
Darling Nikki,Feature Film,Gregory Hatanaka,2015,drama,2015-05-29,http://www.imdb.com/title/tt1996226/
Jeremy Brooks,Feature Film,Kyle T. Miller,2015,drama,2015-05-30,http://www.imdb.com/title/tt4312522/
Anatomy of the Tide,Feature Film,Joel Strunk,2015,drama,2015-05-31,http://www.imdb.com/title/tt1980038/
Little Woodstock 2015,Feature Film,Vitale Justice,2015,music,2015-05-31,http://www.imdb.com/title/tt4440804/
Jezebeth 2 Hour of the Gun,Feature Film,Damien Dante,2015,"action, adventure, horror, western",2015-05-31,http://www.imdb.com/title/tt2418196/
Ice Breaker,Feature Film,"Dalian Davis, Willy McGee",2015,comedy,2015-05-31,http://www.imdb.com/title/tt4497978/
Yoga Hosers,Feature Film,Kevin Smith,2015,"comedy, horror, thriller",2015-06-01,http://www.imdb.com/title/tt3838992/
Criminal Activities,Feature Film,Jackie Earle Haley,2015,"crime, drama, thriller",2015-06-01,http://www.imdb.com/title/tt3687310/
Living Among Us,Feature Film,Brian A. Metcalf,2015,horror,2015-06-01,http://www.imdb.com/title/tt3334418/
Zordon of Eltar,Feature Film,Cisco Davis Jr.,2015,action,2015-06-01,http://www.imdb.com/title/tt3400150/
Star Trek: Horizon,Feature Film,Tommy Kraft,2015,sci_fi,2015-06-01,http://www.imdb.com/title/tt3854562/
The Barefoot Bandit Documentary,Documentary,Carly Bodmer,2015,"documentary, adventure, biography, drama",2015-06-01,http://www.imdb.com/title/tt1884273/
Amok,Feature Film,R.E. Rodgers,2015,"drama, thriller",2015-06-01,http://www.imdb.com/title/tt2090494/
Depth,Feature Film,Don Thacker,2015,"horror, sci_fi",2015-06-01,http://www.imdb.com/title/tt3297758/
Sorority Slaughterhouse,Feature Film,David DeCoteau,2015,horror,2015-06-01,http://www.imdb.com/title/tt4316846/
Eleven Eleven,Feature Film,Chris Redish,2015,comedy,2015-06-01,http://www.imdb.com/title/tt3309874/
Journey to the Forbidden Valley,Feature Film,Ethan Wiley,2015,"action, adventure, family",2015-06-01,http://www.imdb.com/title/tt2387710/
Spin the Plate,Feature Film,Eric Eastman,2015,drama,2015-06-01,http://www.imdb.com/title/tt3848304/
Refuge,Feature Film,Teddy Gyi,2015,drama,2015-06-01,http://www.imdb.com/title/tt2393937/
De-frienDEAD,Feature Film,Nicolas Wendl,2015,"drama, mystery",2015-06-01,http://www.imdb.com/title/tt3024278/
Black Veil Brides: Live in Los Angeles,Feature Film,Casey Tebo,2015,music,2015-06-01,http://www.imdb.com/title/tt4187928/
Cuffs & Shield,Feature Film,Mauricio Ovalle,2015,"action, comedy, drama, romance",2015-06-01,http://www.imdb.com/title/tt2974378/
False Impression,Feature Film,,2015,"action, crime",2015-06-01,http://www.imdb.com/title/tt1774369/
Wayne Shorter: Zero Gravity,Documentary,Dorsay Alavi,2015,documentary,2015-06-01,http://www.imdb.com/title/tt2903346/
Cyblings,Feature Film,Aaron Kahle,2015,"crime, thriller",2015-06-01,http://www.imdb.com/title/tt3177276/
The Magician's Son,Feature Film,Saravut Frank Sopapunta,2015,family,2015-06-01,http://www.imdb.com/title/tt4300052/
American Addict 2: The Big Lie,Documentary,Sasha Knezev,2015,documentary,2015-06-01,http://www.imdb.com/title/tt4219652/
